128,128,132,142,158,183,219,220,219,217,214,214,217,219,220
128,128,132,142,158,183,219,219,219,217,214,214,217,219,219
123,123,128,136,150,172,183,183,183,183,176,176,183,217,217
113,113,119,128,139,150,158,158,158,158,158,158,176,214,214
97,97,105,116,128,136,142,142,142,142,142,158,176,214,214
72,72,83,105,119,128,132,132,132,132,142,158,183,217,217
36,36,72,97,113,123,128,128,128,132,142,158,183,219,219
35,36,72,97,113,123,128,128,128,132,142,158,183,219,220
36,36,72,97,113,123,128,128,128,132,142,158,183,219,219
38,38,72,97,113,123,128,128,128,132,142,158,183,183,183
41,41,79,97,113,122,128,128,128,133,142,158,158,158,158
41,41,79,97,113,122,128,128,128,133,142,142,142,142,142
38,38,72,97,113,123,128,128,128,132,133,133,132,132,132
36,36,72,97,113,123,128,128,128,128,128,128,128,128,128
35,36,72,97,113,123,128,128,128,128,128,128,128,128,128
